date,entries,sumTotal,vaccine,geoRegion,type,type_variant,data_completeness,version
2021-01-27,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-28,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-29,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-30,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-01-31,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-01,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-02,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-03,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-04,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-05,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-06,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-07,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-08,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-09,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-10,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-11,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-12,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-13,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-14,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-15,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-16,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-17,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-18,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-19,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-20,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-21,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-22,0,0,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-23,1,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-24,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-25,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-26,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-27,0,1,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-02-28,1,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-01,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-02,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-03,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-04,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-05,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-06,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-07,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-08,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-09,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-10,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-11,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-12,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-13,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-14,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-15,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-16,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-17,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-18,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-19,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-20,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-21,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-22,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-23,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-24,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-25,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-26,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-27,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-28,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-29,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-30,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-03-31,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-01,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-02,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-03,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-04,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-05,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-06,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-07,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-08,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-09,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-10,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-11,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-12,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-13,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-14,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-15,0,2,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-16,1,3,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-17,0,3,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-18,1,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-19,0,4,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-20,1,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-21,0,5,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-22,1,6,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-23,1,7,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-24,0,7,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-25,1,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-26,0,8,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-27,1,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-28,0,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-29,0,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-04-30,0,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-01,0,9,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-02,1,10,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-03,0,10,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-04,0,10,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-05,1,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-06,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-07,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-08,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-09,0,11,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-10,1,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-11,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-12,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-13,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-14,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-15,0,12,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-16,1,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-17,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-18,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-19,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-20,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-21,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-22,0,13,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-23,1,14,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-24,0,14,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-25,1,15,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-26,0,15,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-27,0,15,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-28,0,15,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-29,1,16,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-30,0,16,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
2021-05-31,0,16,all,CHFL,COVID19Cases,vaccine,limited,2021-09-23_07-57-56
