FID,GMDNR,CODE_ISO,GMDNAME,AREA_HA,ACODE,ACAT,ANAME,X_CNTR,Y_CNTR,E_CNTR,N_CNTR,Shape_Leng,Shape_Area
0,1,CH,Aeugst am Albis,791.000000000000000,261,4.000000000000000,Zürich,679300.000000000000000,235700.000000000000000,2679300.000000000000000,1235700.000000000000000,13087.335728599999129,7958579.856479999609292
1,10,CH,Obfelden,754.000000000000000,261,4.000000000000000,Zürich,675100.000000000000000,235300.000000000000000,2675100.000000000000000,1235300.000000000000000,13856.838227199999892,7557388.594180000014603
2,100,CH,Stadel,1289.000000000000000,261,4.000000000000000,Zürich,677500.000000000000000,264700.000000000000000,2677500.000000000000000,1264700.000000000000000,16413.205434499999683,12793426.230200000107288
3,101,CH,Steinmaur,939.000000000000000,261,4.000000000000000,Zürich,676600.000000000000000,261500.000000000000000,2676600.000000000000000,1261500.000000000000000,18444.291462500001217,9440446.282919999212027
4,102,CH,Weiach,958.000000000000000,261,4.000000000000000,Zürich,675200.000000000000000,267800.000000000000000,2675200.000000000000000,1267800.000000000000000,13565.086608100000376,9600170.555530000478029
5,1024,CH,Emmen,2037.000000000000000,1061,2.000000000000000,Luzern,664800.000000000000000,214100.000000000000000,2664800.000000000000000,1214100.000000000000000,25821.225322900001629,20354122.649900000542402
6,1026,CH,Eschenbach (LU),1321.000000000000000,1061,4.000000000000000,Luzern,666900.000000000000000,220500.000000000000000,2666900.000000000000000,1220500.000000000000000,20060.267393999998603,13043583.315899999812245
7,1033,CH,Inwil,1032.000000000000000,1061,4.000000000000000,Luzern,669200.000000000000000,219500.000000000000000,2669200.000000000000000,1219500.000000000000000,15815.339771299999484,10112592.316400000825524
8,1037,CH,Rain,942.000000000000000,1061,4.000000000000000,Luzern,661900.000000000000000,220000.000000000000000,2661900.000000000000000,1220000.000000000000000,16073.841668099999879,9302919.481610000133514
9,1040,CH,Rothenburg,1549.000000000000000,1061,2.000000000000000,Luzern,663000.000000000000000,216600.000000000000000,2663000.000000000000000,1216600.000000000000000,20302.566363499998261,15572767.044199999421835
10,1051,CH,Adligenswil,699.000000000000000,1061,2.000000000000000,Luzern,670300.000000000000000,213700.000000000000000,2670300.000000000000000,1213700.000000000000000,12063.829766799999561,6997340.746849999763072
